smiles,rev_smiles
C=CC(=O)N1C[C@@H]2CCOc3c(Cl)c(-c4c(O)cccc4F)c(F)c4ncnc(c34)N2C[C@H]1C,C1]H@C[C2N)43c(cncn4c)F(c)F4cccc)O(c4c-(c)lC(c3cOCC2]H@@C[C1N)O=(CC=C
COc1ccc2c(c1)OCc1c-2oc2ccccc2c1=O,O=1c2ccccc2co2-c1cCO)1c(c2ccc1cOC
COc1ccc2c(c1)NC1=C(C(=O)OC1)C2c1cc(OC)c(OC)c(OC)c1,1c)CO(c)CO(c)CO(cc1c2C)1CO)O=(C(C=1CN)1c(c2ccc1cOC
CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,CO)O=(C1]H@C[)O=3C2cccc)O(c2c)O=(C)O2c(c3cc(c2c)2O)C(C)3O)C(C)4O)C(C)O=(CCC4CO(C)O(CC3CO(C)C)C(N(CC2CO(]H@C[C)O(1]@@C[CC
COc1ccc2c(c1)OC(N)=C(C#N)C2c1cc(OC)c(OC)c(OC)c1,1c)CO(c)CO(c)CO(cc1c2C)N#C(C=)N(CO)1c(c2ccc1cOC
COc1ccc(-c2n[nH]nc2-c2cc(OC)c(OC)c(OC)c2)cc1,1cc)2c)CO(c)CO(c)CO(cc2c-2cn]Hn[n2c-(ccc1cOC
Nc1nc(N)c2c(Cl)c(CNc3ccc(Cl)c(Cl)c3)ccc2n1,1n2ccc)3c)lC(c)lC(ccc3cNC(c)lC(c2c)N(cn1cN
CN1CCN(c2ccc([N+](=O)[O-])c3no[n+]([O-])c23)CC1,1CC)32c)]-O[(]+n[on3c)]-O[)O=(]+N[(ccc2c(NCC1NC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)Cc1ccc(O)cc1,1cc)O(ccc1cC)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CCOC(=O)c1ccc(NC(=O)Nc2nccs2)cc1,1cc)2sccn2cN)O=(CN(ccc1c)O=(COCC
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(C(=O)Nc3ccccc3Cl)n2)ccc1O,O1ccc)2n)lC3ccccc3cN)O=(C(n)3c)CO(c)O(ccc3c/C=C/(cc2c/C=C/(cc1cOC
Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c3c2C=NNC4=O)cn1,1nc)O=4CNN=C2c3c4cc)4CCCCC4C)N(]H@C[)O=(CN(cc3c]Hn[2c-(cc1nC
O=C1/C=C/[C@@H](O)[C@@H]2C[C@@H](O)C[C@H]2/C=C/CCC[C@H](C(F)(F)F)O1,1O)F)F()F(C(]H@C[CCC/C=C/2]H@C[C)O(]H@@C[C2]H@@C[)O(]H@@C[/C=C/1C=O
Cc1cc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)n(C)n1,1n)C(n)3C)C2ccc)4c)F)F()F(C(cccc4c)O=(CN(cc2c(N)O=(C)C(N)2n(c3ccn2cN(cc1cC
CC12CCC(C(Br)(Br)C1=O)C2(C)C,C)C(2C)O=1C)rB()rB(C(CCC21CC
CCCCCOC(=O)c1c(C)[nH]c(/C=C2\N=C(c3ccc[nH]3)C=C2OC)c1C,C1c)CO2C=C)3]Hn[ccc3c(C=N\2C=C/(c]Hn[)C(c1c)O=(COCCCCC
CCCCCCCCCCCCCOC(=O)c1c(C)[nH]c(/C=C2\N=C(c3ccc[nH]3)C=C2OC)c1C,C1c)CO2C=C)3]Hn[ccc3c(C=N\2C=C/(c]Hn[)C(c1c)O=(COCCCCCCCCCCCCC
Cc1[nH]c2cc(F)ccc2c1-c1nc2c3cccnc3c3ncccc3c2[nH]1,1]Hn[2c3ccccn3c3cnccc3c2cn1c-1c2ccc)F(cc2c]Hn[1cC
NC(=S)N/N=C\c1nccc2c(N)cccc12,21cccc)N(c2cccn1c\C=N/N)S=(CN
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)CO,OC)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)CC(C)C,C)C(CC)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)CCSC,CSCC)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
C[C@]12CC[C@@H]3c4cc(OCC(F)(F)F)c(O)cc4/C(=N/O)C[C@H]3[C@@H]1CC[C@@H]2O,O2]H@@C[CC1]H@@C[3]H@C[C)O/N=(C/4cc)O(c)F)F()F(CCO(cc4c3]H@@C[CC21]@C[C
N#CCCNc1nonc1-c1nc2ccccc2n1CC(=O)c1ccc(N)cc1,1cc)N(ccc1c)O=(CC1n2ccccc2cn1c-1cnon1cNCCC#N
CC1CC(C)CC(C)C(O)/C(C#N)=C/C=C/CC(C2CCCC2C(=O)O)OC(=O)CC(O)C(C)C1,1C)C(C)O(CC)O=(CO)O)O=(C2CCCC2C(CC/C=C/C=)N#C(C/)O(C)C(CC)C(CC1CC
CC(C)(C)[Si](C)(C)OC1[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H](CNC(=O)NC(=O)NC(=O)CI)O[C@H]1n1cnc2c(NC(=O)Nc3ccccc3)ncnc21,12cncn)3ccccc3cN)O=(CN(c2cnc1n1]H@C[O)IC)O=(CN)O=(CN)O=(CNC(]H@@C[)C)C()C(C)C()C(]iS[O(]H@@C[1CO)C()C(]iS[)C()C(CC
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,1C)2c(cccc2cN)2n(cncc2c-)2c(cccc2cOCC/C=C/C1NC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C[n+]1ccccc1,1ccccc1]+n[C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)=O,O=)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@]1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)[C@@H]6C[C@@H]6CN6CC[C@]43[C@@H]65)C2)C1,1C)2C)56]H@@C[34]@C[CC6NC6]H@@C[C6]H@@C[)CC(5]@C[)O=)C(CO(]H@C[)CO)O=(C()O(]@@C[3]H@C[)O=C(N)CO3cc(c4cc3c()CO)O=(C(C)43ccccc4c]Hn[(c3cCC(NC2CC)O(1]@C[CC
CCC(C)C(N)C(=O)N/N=C\c1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,CC)O(3]@C[)O=(COC)2C1n)O=(c(c3cc1c-)31ccccc3cn(c2c1c\C=N/N)O=(C)N(C)C(CCC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/NC(=O)c1ccc(N)cc1,1cc)N(ccc1c)O=(CN/N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC1=C(C)C(=O)O[C@@H]([C@](C)(O)[C@]2(O)CC[C@@]3(O)[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1,1C)C32]@C[CC4]H@C[)C(6]@C[)O=(CC=C)O(]H@@C[65]@C[O5]H@C[C4]H@@C[)O(3]@@C[CC)O(2]@C[)O()C(]@C[(]H@@C[O)O=(C)C(C=1CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)Cc1c[nH]c2ccccc12,21ccccc2c]Hn[c1cC)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(N)Cc1cnc[nH]1,1]Hn[cnc1cC)N(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C1CCCN1,1NCCC1C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)CN,NC)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
